municipal,%_single_family,pop_2010,%nhwhi_2010,%bipoc_2010,%pop_u18,%pop_65o,%incu10,%in200o,income,%_compliant_zoning,city_size,parcel_year_built,total_value_psf,land_value_psf,floor_area_ratio,max_building_floors,max_floor_area_ratio,%_far_compliant_zoning
Braintree,0.0,6.829793737512425,-0.1217096536593558,-3.2462747990563154,-1.8393611507336889,-1.593351774682476,-3.842609877578632,-1.975342855842432,4.717015312852563,88.425,19.64815054753201,1943.0079112298367,3.991917031257544,3.24672854117874,0.1815861137280176,0.0045762227095051,0.0,0.0694060444274954
Brookline,69.4747089270653,6.680854678790215,-0.2463081600027618,-3.0699367661459904,-1.6374295618709684,-1.852540941487914,-3.686749527856112,-1.279229541683531,4.892415801372859,96.62,18.88966643251698,1923.7797054418368,5.835351949609521,4.690947551759271,0.1812921995985099,0.0,0.7589693757361601,0.927090694935218
Burlington,0.0,0.0,0.0,0.0,0.0,0.0,-2.2047717829716023,-1.9199346626520528,4.596854653631534,95.305,19.48004385807145,1967.0306213017752,3.5459808539330258,2.850649460330009,0.1090821508233632,0.0,0.0061370845400634,0.0737829264928975
Cambridge,0.0,6.025865973825314,-0.2957661908517399,-2.074622255243887,-2.113842968397168,-0.8783714970118613,-2.793208009442517,-1.7015643900905006,4.608198800720399,97.324,18.82809277692277,1909.3750611246944,6.442151443545776,5.464472555276014,1.6144001252885054,0.0155228758169934,0.6868347338935574,0.131963896669779
Canton,0.0,6.20050917404269,-0.2870061684044199,-1.9378292970013744,-1.1700712526502546,-2.026121904147053,-2.5952547069568657,-1.3078061804736076,4.746783397583583,92.07,20.02413228082349,1958.477053541736,3.6372115129621663,2.885435928309998,0.1315579530712647,0.0,0.0,0.000151653017895
Carlisle,0.0,5.942799375126701,-0.0963606000689766,-3.863357833446865,-1.442989704796436,-1.8652619312209813,-3.909915523088581,-0.8554179403083387,4.969387889378811,98.084,19.82709641787954,1968.8507462686568,2.081651846316853,1.3429413407123938,0.0294390811462317,0.0,0.0,0.1497005988023952
Chelsea,0.0,0.0,0.0,0.0,0.0,0.0,-2.4756042571256867,-1.863426139099409,4.28035261557147,97.847,17.685545553163497,1916.812800404756,5.863165568368122,3.8854226630095634,1.2377114271112883,3.3114789337919173,0.1154342218400687,0.1657351676698194
Cohasset,0.0,6.522092798170152,-0.0512932943875505,-3.7495040759303713,-1.1330210683536517,-2.1400661634962708,-6.639875833826536,-1.5218820214097808,4.580221486945462,94.873,19.376568054141845,1943.8617424242425,3.5730575829089446,2.861351706986605,0.1140551429660472,0.0,0.0,0.1271076523994811
Concord,0.0,5.973809611869261,-0.0821654000434901,-3.488902962081261,-1.3009807774073552,-1.7111297348279455,-5.602118820879701,-0.8314341964140362,4.905549089234279,98.212,20.31661849479178,1951.8855923986812,3.912476801349097,3.1404071625191694,0.2067273840058281,0.0,0.2200411319512997,0.5875287923659098
Danvers,0.0,4.564348191467836,-0.0210534091978323,-3.871201010907891,-1.9252908618525773,-0.6523251860396901,-4.204070535389567,-1.8849561404443107,4.5642930581505965,92.103,19.56290507119763,1947.0031077835847,3.6435661353325375,3.0221635258820454,0.1646086771223168,0.0,0.0,0.0469314079422382
Dedham,0.0,4.787491742782046,-0.0689928714869514,-2.70805020110221,-1.529395204760564,-1.491654876777717,-4.544261432901099,-1.289667525430819,4.755139713647046,98.67,19.327894759575457,1940.5289267015708,4.1186629255187945,3.343589142805013,0.3621007639518771,0.0,1.5746656587975345,0.8485870450052332
Dover,100.0,4.04305126783455,-0.0540672212702758,-3.349904087274605,-1.55814461804655,-1.6451559950361796,-3.917462728723964,-0.4432402120469189,5.100578660870448,98.118,19.86209444715112,1967.3275774504823,2.940477121660935,2.1959909732650225,0.0917414138577149,0.0,0.0,0.2032682343563172
Duxbury,100.0,6.363028103540465,-0.019147669414134,-4.417117954485152,-1.153541950699044,-2.0589630103362957,-3.054394186202577,-1.3726356121888506,4.897700232096835,93.709,20.237399015583144,1955.6089833567275,3.506939170949221,3.0109125152288527,0.1482953252862383,0.04,0.02,0.0227555555555555
