,municipal,%_single_family,pop_2010,%nhwhi_2010,%bipoc_2010,%pop_u18,%pop_65o,%incu10,%in200o,income,%_compliant_zoning,city_size,parcel_year_built,total_value_psf,land_value_psf,floor_area_ratio,max_building_floors,max_floor_area_ratio,%_far_compliant_zoning
67,Quincy,40.97681956939394,6.499787040655854,-0.1247622208277577,-2.738586924962292,-2.1822989271195437,-1.0748370231744515,-3.4263979952794537,-1.998032420238876,4.612454719495945,97.969,19.863544809029275,1928.4381629028167,4.643516978574282,3.7456442924968263,0.6152104538242402,2.885800823842985,0.4578265083595832,0.18977465471286648
68,Randolph,97.78132848983302,6.860663671448287,-1.0986122886681098,-0.7121953755306398,-1.457986289576007,-2.1511334701359526,-3.581035699037503,-3.1520400935191444,4.509624944096725,98.62,19.234952863240505,1954.8153622486068,3.696564516475545,2.8701840654987216,0.2433463092600897,0.0,0.0,0.06086661387034732
69,Reading,97.86645590784234,5.556828061699537,-0.15866536018178498,-3.9473901492654373,-1.2260947214132065,-2.1556306800373823,-3.232532151315686,-1.268922425160972,4.779086247176583,96.815,19.323124518093703,1947.6497119572853,4.0320851343880975,3.4235934994604946,0.16230668154040753,0.00194325689856199,0.007254825754631429,0.0777302759424796
70,Revere,2.8137978541388304,5.278114659230517,-0.40291733602936564,-1.4714521694601974,-1.540445040947149,-1.9459101490553135,-2.104330830443523,-2.360264204580724,4.633788752361076,95.648,18.67343699580691,1941.9954621682944,4.697297002269298,3.699841053839629,0.4427466893678795,2.760492626802787,0.8841759844433641,0.901231567006968
71,Rockland,54.17798457380641,7.010311867307229,-0.08275396102891237,-3.1184915691966024,-1.7580384392605992,-1.898324078950686,-3.2775006682157244,-3.258808535203572,4.620302389658295,91.773,19.375645202244886,1940.8533950617284,3.459884897102209,2.613001759761338,0.13743832329714303,2.6457534799273756,0.0,0.00040346984062941297
72,Rockport,73.2090725946021,6.529418838262226,-0.0821129757210121,-2.945899899806115,-1.4542450230283983,-1.8850279391208526,-3.5830137603700947,-3.4159596757069286,4.450973161979442,88.987,19.051520082201232,1930.7091945830364,4.123049658998485,3.3851809044039185,0.24918195069956375,2.5,0.0,0.14847030593881225
73,Salem,69.13552273514968,7.484930283289661,-0.13313041423188518,-2.508196540869087,-2.1096518756054965,-1.3279512977041061,-3.1299134550200107,-3.2132950639590616,4.411567602300901,90.599,19.14474141164117,1916.2154233025985,4.794073414452202,3.4618297078631683,0.7261258356711021,2.6577450652392103,0.0,0.06356641017062563
74,Saugus,0.0,6.364750756851911,-0.1342693092734293,-3.7256934272366524,-1.8321512636986552,-1.9703016021794726,-6.675823221634848,-2.2331719651445314,4.479615552270161,91.927,19.438480729049424,1947.5561904761905,4.049381178026375,3.350939429221257,0.18590997262333914,2.9777653003930378,0.0,0.11083660864682762
75,Scituate,0.0,5.476463551931511,-0.0340458414097171,-4.09016919081162,-1.5846432538208841,-1.6478221554424157,-3.7436043538031827,-1.0580270085530314,4.865670446111785,97.753,19.857789943138222,1951.2005781938326,4.018390758181112,3.417960790126579,0.15474547015548037,3.0,0.0,0.0005925574780753733
76,Sharon,98.4283190307621,5.733341276897746,-0.16499677313664857,-3.3354460040993748,-1.1586302983943626,-2.2069807522815843,-3.589672804030488,-1.1078573468121609,4.905168499152817,98.9,20.21829819131086,1962.1427023121387,3.1645469068869025,2.59717149601623,0.13786082249623913,0.09501630181648812,0.0,0.11721782331936034
77,Sherborn,99.86852084816753,6.013715156042802,-0.0761789509603754,-3.615819883244431,-1.243030531577137,-1.5828983571994881,-3.0889423475811992,-0.9443615037304018,4.970670030809524,96.436,19.89456773334272,1953.8198074277855,2.092943782442383,1.3996521866988774,0.030116799980657118,0.0,0.0,0.22416534181240064
78,Somerville,0.0,0.0,0.0,0.0,0.0,0.0,-3.0626717562291,-1.8899514954072687,4.61272282034303,98.509,18.251302137346336,1909.805177220231,5.866550783865891,4.922823457201057,1.3214399452654988,2.765169668392981,1.9653319935069955,0.8665842158151039
79,Southborough,0.0,5.752572638825633,-0.169076330043934,-3.5553480614894135,-1.1882244473577968,-2.256065077359153,-3.871201010907891,-0.8754687373538999,4.974518217388296,96.912,19.806873110412624,1967.9517961314093,3.032574974629606,2.144600678440162,0.07033605010061812,2.5341430499325237,0.32491497975708505,0.988663967611336
80,Stoneham,0.0,6.870053411798126,-0.0867282111941656,-3.4043175089983992,-1.419014958232425,-1.9797042835763718,-2.9404837993235122,-1.3876162383778063,4.7421677865891,97.798,18.686142208896346,1945.2325780981805,4.195694984246165,3.451605183771934,0.3568229745288599,0.0,0.0,0.03265507056120775
81,Stoughton,87.65135487397838,7.051855622955894,-0.31964491648868776,-1.8757058903820647,-1.3854289348434616,-1.9581054221491316,-3.1886563393072103,-2.315127466771137,4.600019647111346,88.198,19.845519636268065,1959.989867717422,3.2931044771619438,2.3953559938410454,0.10797772551963576,0.0,0.0,0.15647545830869308
82,Stow,0.034596161315449216,6.2878585601617845,-0.0752524644102657,-3.7229092027002477,-1.2002622249294002,-2.160724175116693,-3.3860505659021696,-1.2776214873490814,4.797735009785101,97.299,19.971083882655392,1964.05943738657,2.7213181840670457,2.0361266549048604,0.10183677449924652,3.0,0.0002358490566037736,0.1293238993710692
83,Sudbury,99.78001229914196,6.246106765481563,-0.2496546768625416,-2.314281132757237,-1.2973468751033945,-1.5365765641692286,-3.1453614686624034,-1.0250979324623124,4.935755303824024,97.35,20.2952010611289,1967.9532560214095,2.8350091741843606,2.1760950847359735,0.06009442817475023,0.008887171561051005,0.0,0.12627511591962906
84,Swampscott,77.84996661125881,6.874198495453294,-0.06626355175336818,-3.1606264287489867,-2.309850303985458,-0.7321610898659381,-3.4957858003380706,-2.733645748291174,4.465665644129622,95.734,18.097387189727183,1932.1706404862084,4.459544649563438,3.5080427853526173,0.2983774827739134,2.5188334050796386,0.0,0.0647869134739561
85,Topsfield,98.96091315107459,5.3612921657094255,-0.038282186571016924,-5.3612921657094255,-1.1716374236829996,-1.8349316410932637,-7.029087564149662,-1.2989877811760875,4.865945511686872,96.375,19.635253626497438,1956.1027992277993,2.8236098460239587,2.1174744603380216,0.0571016474884892,2.5051238257899233,0.25213492741246796,0.9722459436379163
