2010 total population,high income,city size,low income,BIPOC population,elderly (>65) population,average building density,family zoning compliance,white population,young (<18) population,municipal
6.994849985833071,-1.155085804482166,20.050045875337833,-7.497207223203318,-3.5608627813479248,-2.399730135698481,0.1574041877248485,96.591,-0.6266627994825785,-1.06260479838506,Acton
6.483107351457199,-2.2496457076998264,18.52697076467634,-3.8058391056151146,-2.9865997899907186,-1.9398125691871948,0.38094141579077295,97.824,-0.10978756188018605,-1.4592268306109224,Arlington
6.472346294500901,-1.6162458055963773,19.612020083670334,-3.991626056027113,-2.808784648371254,-2.7346766762175325,0.060200675471488156,95.769,-0.1957028051592562,-1.3603585061443573,Ashland
6.775366090936392,-0.8472978603872037,19.685240698241135,-4.268297869345538,-2.750014400201242,-2.056867219641297,0.09901569631745484,96.526,-0.2503364330929293,-1.3954687373959318,Bedford
6.405228458030842,-1.927661467466914,19.97436788324775,-3.77138067562568,-4.007333185232471,-1.8305174795274588,0.0910343950729018,94.797,-0.07907898487574234,-1.4423838277709342,Bellingham
5.44673737166631,-1.1027445259530202,18.52211453246936,-3.213734425367782,-4.7535901911063645,-1.3358635074929988,0.2140019338810296,96.313,-0.14343246360723416,-1.3196029866212184,Belmont
6.6240652277998935,-2.1371690103351177,19.744610810513933,-3.3213034724413895,-4.226169955001523,-1.7798781413413023,0.24489956534136587,96.392,-0.0323914957912354,-1.593627306407458,Beverly
5.135798437050262,-0.9456429438866826,20.08497342932205,-4.477336814478207,-3.1898882879949486,-2.245426679154097,0.020246449442569044,95.778,-0.060624621816434854,-1.1845547184688343,Bolton
7.222566018822171,-2.502860453404596,20.917113625163275,-2.0007685096073597,-1.5771191211789328,-1.4763628282820174,0.268263348846261,94.667,-0.3788160698159459,-1.8334942890056698,Boston
5.91350300563827,-1.3775691482290207,19.40494481960097,-3.938664936374567,-3.20545280453606,-2.1999309389339623,0.04739037345121032,91.205,-0.16093036681263712,-1.213022639845854,Boxborough
6.829793737512425,-1.9753428558424317,19.648150547532012,-3.842609877578632,-3.2462747990563154,-1.593351774682476,0.1815861137280176,88.425,-0.12170965365935582,-1.8393611507336889,Braintree
6.680854678790215,-1.279229541683531,18.88966643251698,-3.6867495278561115,-3.0699367661459904,-1.852540941487914,0.18129219959850998,96.62,-0.24630816000276187,-1.6374295618709684,Brookline
0.0,-1.9199346626520526,19.480043858071454,-2.2047717829716023,0.0,0.0,0.10908215082336323,95.305,0.0,0.0,Burlington
6.025865973825314,-1.7015643900905006,18.82809277692277,-2.793208009442517,-2.074622255243887,-0.8783714970118613,1.6144001252885054,97.324,-0.29576619085173994,-2.1138429683971682,Cambridge
6.20050917404269,-1.3078061804736076,20.02413228082349,-2.5952547069568657,-1.9378292970013746,-2.026121904147053,0.13155795307126475,92.07,-0.28700616840441995,-1.1700712526502546,Canton
5.942799375126701,-0.8554179403083387,19.82709641787954,-3.909915523088581,-3.863357833446865,-1.8652619312209815,0.029439081146231724,98.084,-0.09636060006897669,-1.442989704796436,Carlisle
0.0,-1.8634261390994087,17.685545553163497,-2.4756042571256867,0.0,0.0,1.2377114271112883,97.847,0.0,0.0,Chelsea
6.522092798170152,-1.5218820214097808,19.376568054141845,-6.639875833826536,-3.7495040759303713,-2.1400661634962708,0.11405514296604727,94.873,-0.05129329438755058,-1.1330210683536515,Cohasset
5.973809611869261,-0.8314341964140362,20.31661849479178,-5.602118820879701,-3.488902962081261,-1.7111297348279457,0.20672738400582819,98.212,-0.08216540004349016,-1.3009807774073552,Concord
4.564348191467836,-1.8849561404443107,19.56290507119763,-4.204070535389567,-3.871201010907891,-0.6523251860396901,0.16460867712231686,92.103,-0.02105340919783238,-1.9252908618525775,Danvers
4.787491742782046,-1.289667525430819,19.327894759575457,-4.544261432901099,-2.70805020110221,-1.491654876777717,0.3621007639518771,98.67,-0.06899287148695143,-1.529395204760564,Dedham
4.04305126783455,-0.44324021204691894,19.86209444715112,-3.9174627287239643,-3.349904087274605,-1.6451559950361796,0.09174141385771496,98.118,-0.05406722127027582,-1.55814461804655,Dover
6.363028103540465,-1.3726356121888506,20.237399015583144,-3.054394186202577,-4.4171179544851515,-2.0589630103362953,0.14829532528623834,93.709,-0.01914766941413408,-1.153541950699044,Duxbury
6.028278520230698,-1.2428438059876308,19.720093989610668,-2.370978533922062,-3.7256934272366524,-2.0964528875063726,0.024891444183769255,45.959,-0.02934195828401532,-1.5174190137138484,Essex
0.0,-3.0520696433588057,18.37249636732133,-2.5877640352277083,0.0,0.0,0.8940170322257394,89.931,0.0,0.0,Everett
6.54534966033442,-2.1537891783044474,20.078492906939353,-4.32452214019369,-3.454307206976104,-2.0344901538175697,0.17943230160029727,95.693,-0.06071442469916773,-1.4154509454113462,Foxborough
6.546785410760524,-1.7426373915743567,20.21579274387962,-2.5680525407120527,-2.833213344056216,-1.7184716734582226,0.15963420221363306,95.375,-0.15822400521489416,-1.5631787890521873,Framingham
7.1891677384203225,-0.6956072064008076,20.3566450387513,-6.70196036600254,-3.7551805339351763,-3.1638160476851733,0.0875296102502797,95.296,-0.09244635992556238,-1.0070828317036908,Franklin
6.75110146893676,-1.9552125417176267,20.357129230474122,-3.710270644095254,-4.26619481914876,-1.899071205017143,0.34729768340372763,98.662,-0.03936107388058031,-1.639113680580217,Gloucester
5.537334267018537,-1.0206507471983979,19.784635605232644,-1.6276202315172907,-4.438721978350427,-2.359280436670591,0.09533372072684812,99.057,-0.04839654086185021,-1.3629469971228996,Hamilton
